,total_score,Sc,Sc_int_area,complex_normalized,dG_cross,dG_cross/dSASAx100,dG_separated,dG_separated/dSASAx100,dSASA_hphobic,dSASA_int,dSASA_polar,ddg,delta_unsatHbonds,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_E_fraction,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,hbonds_int,lk_ball_wtd,nres_all,nres_int,omega,p_aa_pp,packstat,per_residue_energy_int,pro_close,rama_prepro,ref,sc_value,side1_normalized,side1_score,side2_normalized,side2_score,binding,cluster
14,-804.38,0.642,837.4960000000001,-1.719,-54.789,-3.073,-45.487,-2.551,909.793,1783.0120000000002,873.22,-32.087,12.0,0.0,-2864.101,801.5219999999999,-693.9760000000001,7.069,106.658,383.83,1652.349,0.309,-79.281,-72.17399999999999,-39.389,-163.442,10.0,-80.615,479.0,71.0,47.368,-85.564,0.0,-1.634,5.398,81.902,188.066,0.68,-1.724,-68.972,-1.517,-47.024,1,1
15,-935.505,0.735,2666.284,-2.832,-159.261,-3.599,-138.993,-3.141,3043.77,4424.551,1380.781,-112.122,15.0,0.0,-2044.322,460.641,-625.717,3.892,61.772,218.141,1251.102,0.144,-44.301,-88.726,-48.381,-148.028,15.0,-53.354,347.0,177.0,22.874,-62.969,0.0,-2.8760000000000003,2.032,32.128,127.713,0.728,-2.672,-208.4,-3.037,-300.658,1,1
16,-771.638,0.631,1613.612,-2.51,0.0,0.0,-84.53399999999999,-2.785,1750.206,3035.297,1285.091,-58.504,0.0,0.0,-1922.905,470.981,-582.515,4.203,61.85,233.035,1157.289,0.179,-51.705,-29.99,-29.287,-167.487,13.0,-41.504,316.0,59.0,30.252,-45.938,0.0,-2.9130000000000003,20.787,3.091,118.205,0.721,-2.756,-74.42399999999999,-3.0460000000000003,-97.472,1,1
17,-755.34,0.705,915.998,-1.761,-60.713,-3.353,-51.72,-2.8560000000000003,900.809,1810.675,909.866,-42.213,4.0,0.0,-2642.054,816.015,-699.73,7.16,107.829,305.532,1618.744,0.2319999999999999,-61.609,-16.835,-55.173,-234.885,8.0,-76.175,440.0,59.0,30.619,-48.284,0.0,-2.517,1.017,74.786,117.703,0.716,-1.27,-31.757,-3.4330000000000003,-116.734,1,1
18,-953.605,0.655,1260.88,-2.533,-52.724,-2.24,-42.787,-1.818,1373.624,2353.939,980.316,-23.823,14.0,-0.906,-2330.245,528.479,-597.1669999999999,4.418,79.141,286.005,1326.112,0.191,-53.618,-51.932,-51.833,-161.595,8.0,-61.922,388.0,79.0,22.252,-66.811,0.0,-2.107,4.567,59.725,111.726,0.659,-1.788,-64.351,-2.374,-102.081,1,1
19,-1832.452,0.688,2183.962,-2.701,0.0,0.0,-111.765,-2.8360000000000003,2307.355,3941.223,1633.868,-84.915,5.0,0.0,-4095.29,899.808,-1149.42,8.332,124.455,474.207,2426.374,0.317,-100.475,-95.015,-76.812,-334.584,25.0,-118.511,685.0,118.0,31.59,-105.973,0.0,-3.027,7.587000000000001,59.131,212.145,0.7070000000000001,-2.659,-140.95,-3.326,-216.209,1,1
20,-2402.249,0.629,1389.315,-2.954,-64.218,-2.6010000000000004,-55.128,-2.233,1164.518,2469.069,1304.5510000000002,-55.801,15.0,0.0,-5301.979,1196.271,-1415.9229999999998,9.836,172.95,604.563,3085.679,0.2289999999999999,-123.17,-46.613,-110.984,-471.851,12.0,-149.575,815.0,89.0,34.918,-125.848,0.0,-3.095,4.498,-34.208,269.188,0.611,-2.75,-137.488,-3.5380000000000003,-137.976,1,1
21,-891.1089999999999,0.722,2506.774,-2.905,-132.499,-3.272,-116.121,-2.867,2571.943,4049.731,1477.7879999999998,-100.969,18.0,0.0,-1837.667,429.021,-563.306,3.497,63.68899999999999,197.299,1100.37,0.1969999999999999,-55.688,-109.646,-45.201,-96.5,24.0,-41.795,319.0,158.0,11.859000000000002,-61.256,0.0,-3.445,1.19,-2.804,115.83,0.696,-3.624,-279.052,-3.275,-265.295,1,1
22,-771.683,0.735,771.674,-2.24,-52.541,-3.2510000000000003,-44.547,-2.757,950.038,1615.979,665.941,-27.184,9.0,-12.911,-1915.601,502.827,-458.862,4.053,65.73100000000001,239.95,1047.212,0.308,-69.539,-112.703,-26.703000000000003,-54.391000000000005,13.0,-50.451,359.0,71.0,33.018,-88.25299999999999,0.0,-2.393,6.007000000000001,-23.444000000000003,142.376,0.736,-2.729,-106.429,-1.983,-63.46,1,1
23,-1262.033,0.5589999999999999,1694.767,-2.883,-82.90799999999999,-3.047,-68.675,-2.524,1459.297,2720.8340000000003,1261.538,-50.68600000000001,14.0,0.0,-2653.68,620.545,-753.307,5.176,90.169,303.795,1456.8529999999998,0.268,-66.65100000000001,-125.219,-58.822,-139.92700000000002,16.0,-65.84,446.0,106.0,26.516,-119.983,0.0,-3.035,3.432,12.223,202.687,0.583,-2.667,-141.365,-3.402,-180.304,1,1
24,-842.948,0.602,734.543,-2.778,-36.008,-2.407,-28.346,-1.895,947.039,1496.109,549.07,-20.076,7.0,-1.127,-1712.684,378.467,-507.507,3.529,54.315,223.088,953.541,0.231,-81.166,-131.031,-21.326,-39.856,6.0,-43.081,309.0,70.0,21.17,-73.87100000000001,0.0,-2.631,5.292999999999999,22.043000000000003,107.254,0.596,-2.635,-94.876,-2.627,-89.302,1,0
